Vachana,Vachanakaara,Pen_Name
"ಎನ್ನ ನಾಲಗೆಗೆ ಬಪ್ಪರುಚಿ ನಿಮಗರ್ಪಿತ.
ಎನ್ನ ನಾಸಿಕಕ್ಕೆ ಬಪ್ಪ ಪರಿಮಳ ನಿಮಗರ್ಪಿತ.
ಎನ್ನ ಕಾಯಕ್ಕೆ ಬಪ್ಪ ಸುಖ ನಿಮಗರ್ಪಿತ.
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯಾ, ನಿಮಗರ್ಪಿಸದ ಮುನ್ನ ಮುಟ್ಟಲಮ್ಮೆನಯ್ಯಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಸತ್ಯ ಸದ್ಭಕ್ತರ ಸಂಭಾಷಣೆ ನುಡಿಗಡಣವೆಂಬುದು
ನಿಚ್ಚಲೊಂದು ಉಪದೇಶ ಮಂತ್ರವ ಕಲಿತಂತೆ.
ಬಚ್ಚಬ¾Âಯ ಭವಿಗಳ ಸಂಗದಲ್ಲಿದ್ದರೆ
ಕಿಚ್ಚಿನೊಳಗೆ ಬಿದ್ದ ಕೀಡೆಯಂತಪ್ಪುದಯ್ಯ.
ಸುಚಿತ್ತದಿಂದ ನಿಮ್ಮ ಸದ್ಭಕ್ತರ ಸಂಗದಲ್ಲಿರಿಸದಿರ್ದಡೆ ನಾನಿನ್ನೆತ್ತ ಸಾರುವೆನು
ಹೇಳಾ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ ?
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ಗುರುವಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ಲಿಂಗವಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ಜಂಗಮವಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ಪಾದೋದಕವಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ಪ್ರಸಾದವಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ವಿಭೂತಿಯಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ರುದ್ರಾಕ್ಷಿಯಾದ
ಗುರು ತನ್ನ ವಿನೋದಕ್ಕೆ ಮಹಾಮಂತ್ರವಾದ.
ಇಂತೀ ಭೇದವನರಿಯದೆ,
ಗುರು ಲಿಂಗ ಜಂಗಮ ಪಾದತೀರ್ಥ ಪ್ರಸಾದ ವಿಭೂತಿ ರುದ್ರಾಕ್ಷಿ
ಓಂ ನಮಃ ಶಿವಾಯಯೆಂಬ ಮಂತ್ರವ ಬೇರಿಟ್ಟು ಅರಿಯಬಾರದು.
ಅದಲ್ಲದೆ ಒಂದರಲ್ಲಿಯೂ ವಿಶ್ವಾಸ ಬೇರಾದಡೆ
ಅಂಗೈಯಲ್ಲಿರ್ದ ಲಿಂಗವು ಜಾರಿತ್ತು.
ಮಾಡಿದ ಪೂಜೆಗೆ ಕಿಂಚಿತ್ತು ಫಲಪದವಿಯ ಕೊಟ್ಟು
ಭವಹೇತುಗಳ ಮಾಡುವನಯ್ಯಾ.
ಇಷ್ಟಲಿಂಗದಲ್ಲಿ ನೈಷ್ಠೆ ನಟ್ಟು ಬಿಟ್ಟು ತ್ರಿವಿಧವ ಮರಳಿ ಹಿಡಿಯದೆ
ವಿರಕ್ತನಾದನಯ್ಯಾ ಗುರು
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಕಲ್ಯಾಣಕೈಲಾಸವೆಂಬ ನುಡಿ ಹಸನಾಯಿತ್ತು.
ಒಳಗೂ ಕಲ್ಯಾಣ ಹೊರಗೂ ಕಲ್ಯಾಣ.
ಇದರಂತುವನಾರು ಬಲ್ಲರಯ್ಯಾ ?
ನಿಮ್ಮ ಸತ್ಯ ಶರಣರ ಸುಳುಹು ತೋರುತ್ತಿದೆಯಯ್ಯಾ.
ನಿಮ್ಮ ಶರಣ ಬಸವಣ್ಣನ ಕಾಂಬೆನೆಂಬ ತವಕವೆನಗಾಯಿತ್ತು ಕೇಳಾ
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಒಲುಮೆ ಒಚ್ಚತವಾದವರು ಕುಲಛಲವನರಸುವರೆ ?
ಮರುಳುಗೊಂಡವರು ಲಜ್ಜೆನಾಚಿಕೆಯ ಬಲ್ಲರೆ ?
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನದೇವಗೊಲಿದವರು ಲೋಕಾಬ್ಥಿಮಾನವ ಬಲ್ಲರೆ  ?
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಇಂದೆನ್ನ ಮನೆಗೆ ಒಡೆಯರು ಬಂದಡೆ
ತನುವೆಂಬ ಕಳಶದಲುದಕವ ತುಂಬಿ,
ಕಂಗಳ ಸೋನೆಯೊಡನೆ ಪಾದಾರ್ಚನೆಯ ಮಾಡುವೆ.
ನಿತ್ಯ ಶಾಂತಿಯೆಂಬ ಶೈತ್ಯದೊಡನೆ ಸುಗಂಧವ ಪೂಸುವೆ.
ಅಕ್ಷಯ ಸಂಪದವೆಂದರಿದು ಅಕ್ಷತೆಯನೇರಿಸುವೆ.
ಹೃದಯಕಮಲ ಪುಷ್ಪದೊಡನೆ ಪೂಜೆಯ ಮಾಡುವೆ.
ಸದ್ಭಾವನೆಯೊಡನೆ ಧೂಪವ ಬೀಸುವೆ.
ಶಿವಜ್ಞಾನ ಪ್ರಕಾಶದೊಡನೆ ಮಂಗಳಾರತಿಯನೆತ್ತುವೆ.
ನಿತ್ಯತೃಪ್ತಿಯೊಡನೆ ನೈವೇದ್ಯವ ಕೈಕೊಳಿಸುವೆ.
ಪರಿಣಾಮದೊಡನೆ ಕರ್ಪೂರ ವೀಳೆಯವ ಕೊಡುವೆ.
ಪಂಚಬ್ರಹ್ಮದೊಡನೆ ಪಂಚಮಹಾವಾದ್ಯವ ಕೇಳಿಸುವೆ.
ಹರುಷದೊಡನೆ ನೋಡುವೆ,
ಆನಂದದೊಡನೆ ಕುಣಿಕುಣಿದಾಡುವೆ,
ಪರವಶದೊಡನೆ ಹಾಡುವೆ, ಭಕ್ತಿಯೊಡನೆ ಎರಗುವೆ,
ನಿತ್ಯದೊಡನೆ ಕೂಡಿ ಆಡುವೆ.
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ, ನಿಮ್ಮ ನಿಲವ ತೋರಿದ ಗುರುವಿನಡಿಯಲ್ಲಿ ಅರನಾಗಿ
ಕರಗುವೆ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಮಾಟ ಮದುವೆಯ ಮನೆ.
ದಾನಧರ್ಮ ಸಂತೆಯ ಪಸಾರ,
ಸಾಜಸಾಜೇಶ್ವರಿ ಸೂಳೆಗೇರಿಯ ಸೊಬಗು.
ವ್ರತನೇಮವೆಂಬುದು ವಂಚನೆಯ ಲುಬ್ಧವಾಣಿ.
ಭಕ್ತಿಯೆಂಬುದು ಬಾಜಿಗಾರರಾಟ.
ಬಸವಣ್ಣಗೆ ತರ ; ನಾನರಿಯದೆ ಹುಟ್ಟಿದೆ, ಹುಟ್ಟಿ ಹುಸಿಗೀಡಾದೆ.
ಹುಸಿ ವಿಷಯದೊಳಡಗಿತ್ತು, ವಿಷಯ ಮಸಿಮಣ್ಣಾಯಿತ್ತು.
ನಿನ್ನ ಗಸಣೆಯನೊಲ್ಲೆ ಹೋಗಾ, ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ,
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಚಂದ್ರಕಾಂತದ ಶಿಲೆಗೆ ಒಂದು ಗಜ ಹೋರುವಂತೆ
ತನ್ನ ನೆಳಲಿಂಗೆ ತಾನೆ ಹೋರಿ ಸಾವಂತೆ
ಆನೆಯ ಗತಿ ಆನೆಯ ಮತಿ.
ಆನೆಯಹುದು, ಆನೆಯಲ್ಲ, ಅದನೇನೆಂಬೆ ?
ನೀನೆನ್ನ ಕರಸ್ಥಲದಲ್ಲಿ ಸಿಲ್ಕಿದೆಯಾಗಿ ನೀ ನಾನೆಂಬ ಭ್ರಾಂತೇಕೆ ? ನಾನು ನೀನಲ್ಲದ
ತೆರಹಿಲ್ಲ,
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಾ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ನೆಲದ ಮರೆಯ ನಿಧಾನದಂತೆ
ಫಲದ ಮರೆಯ ರುಚಿಯಂತೆ
ಶಿಲೆಯ ಮರೆಯ ಹೇಮದಂತೆ
ತಿಲದ ಮರೆಯ ತೈಲದಂತೆ
ಮರದ ಮರೆಯ ತೇಜದಂತೆ
ಭಾವದ ಮರೆಯ ಬ್ರಹ್ಮವಾಗಿಪ್ಪ ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನನ ನಿಲವನರಿಯಬಾರದು.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
"ಕಾಮವುಳ್ಳವರಿಗೆ ಕಾಯಸಂಗ ಮಚ್ಚು ನೋಡಾ.
ಕಾಮವಿಲ್ಲದವರಿಗೆ ಲಿಂಗಸಂಗ ಮಚ್ಚು ನೋಡಾ.
ಕಾಮವಿಕಾರಿ ಕಾಯದತ್ತ ಮುಂತಾದಡೆ,
ನಾ ನಿಮ್ಮತ್ತ ಮುಂತಾದೆ.
ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನಯ್ಯಾ, ಕಾಮವಿಕಾರಿಯ ಸಂಗವ ಹೊದ್ದಿದಡೆ ನಿಮ್ಮಾಣೆ.
",ಅಕ್ಕಮಹಾದೇವಿ,ಚೆನ್ನಮಲ್ಲಿಕಾರ್ಜುನ
